ell,residuals
2,2.5171262414525247e-14
3,3.788708373101403e-14
4,5.064731572746413e-14
5,6.34195683759941e-14
6,7.617106454600608e-14
7,8.886872164565849e-14
8,1.0147923495795407e-13
9,1.1396916246774005e-13
10,1.26305010969995e-13
11,1.3845332324384425e-13
12,1.5038076607175987e-13
13,1.6205421887865194e-13
14,1.7344086276155044e-13
15,1.8450826967709135e-13
16,1.9522449155101831e-13
17,2.0555814907186612e-13
18,2.1547851992892095e-13
19,2.249556262539967e-13
20,2.33960321025678e-13
21,2.424643731953527e-13
22,2.5044055129493167e-13
23,2.5786270528789567e-13
24,2.6470584642746996e-13
25,2.7094622488862346e-13
26,2.76561404944049e-13
27,2.8153033745866006e-13
28,2.858334294817883e-13
29,2.8945261072184445e-13
30,2.9237139669446217e-13
31,2.945749483416249e-13
32,2.9605012792702566e-13
33,2.9678555102051696e-13
34,2.967716343933547e-13
35,2.960006396549286e-13
36,2.9446671247150203e-13
37,2.921659172174991e-13
38,2.890962669207031e-13
39,2.8525774837416747e-13
40,2.806523422987366e-13
41,2.7528403845284413e-13
42,2.691588455982361e-13
43,2.6228479624341894e-13
44,2.5467194609967184e-13
45,2.463323681981059e-13
46,2.372801416300365e-13
47,2.2753133488677075e-13
48,2.17103983789453e-13
49,2.0601806401369857e-13
50,1.9429545822859027e-13
51,1.8195991788384852e-13
52,1.6903701969399842e-13
53,1.555541168829615e-13
54,1.4154028526684013e-13
55,1.270262642678037e-13
56,1.1204439296597041e-13
57,9.662854131069277e-14
58,8.081403662697533e-14
59,6.463758556622766e-14
60,4.8137191664675283e-14
61,3.135206868577965e-14
62,1.4322549936039856e-14
63,-2.910006243694604e-15
64,-2.030331459731535e-14
65,-3.781426445696903e-14
66,-5.539902439389652e-14
67,-7.301314976887623e-14
68,-9.061169292424284e-14
69,-1.0814931575012763e-13
70,-1.2558040434862276e-13
71,-1.4285918551132573e-13
72,-1.5993984471825644e-13
73,-1.7677664535919856e-13
74,-1.9332404887264264e-13
75,-2.095368354920414e-13
76,-2.2537022528461557e-13
77,-2.407799991643102e-13
78,-2.5572261955751623e-13
79,-2.7015535039812295e-13
80,-2.8403637612749806e-13
81,-2.973249193742681e-13
82,-3.0998135698968327e-13
83,-3.21967334115604e-13
84,-3.3324587596444176e-13
85,-3.4378149699368076e-13
86,-3.5354030716157697e-13
87,-3.624901149556182e-13
88,-3.706005268912947e-13
89,-3.778430431852112e-13
90,-3.8419114931424835e-13
91,-3.8962040318101224e-13
92,-3.9410851761470913e-13
93,-3.9763543794706416e-13
94,-4.0018341441335314e-13
95,-4.017370691403965e-13
96,-4.02283457495883e-13
97,-4.018121235860041e-13
98,-4.0031514970265693e-13
99,-3.9778719953555956e-13
100,-3.9422555497970755e-13
101,-3.8963014638437366e-13
102,-3.840035761058351e-13
103,-3.7735113524289154e-13
104,-3.696808134511694e-13
105,-3.610033017501139e-13
106,-3.513319882541555e-13
107,-3.4068294677825814e-13
108,-3.2907491828626807e-13
109,-3.1652928516967435e-13
110,-3.0307003836316646e-13
111,-2.8872373732277347e-13
112,-2.7351946291147866e-13
113,-2.574887632566425e-13
114,-2.4066559266279196e-13
115,-2.2308624368279245e-13
116,-2.0478927246917262e-13
117,-1.8581541754679763e-13
118,-1.6620751216644642e-13
119,-1.4601039041762144e-13
120,-1.2527078729685888e-13
121,-1.0403723294572091e-13
122,-8.235994128988674e-14
123,-6.029069332776805e-14
124,-3.7882715333230304e-14
125,-1.5190552252911594e-14
126,7.7300634062794e-15
127,3.0822346889526456e-14
128,5.40286003824821e-14
129,7.729035573892352e-14
130,1.0054852039870845e-13
131,1.237435261358196e-13
132,1.4681548026559125e-13
133,1.6970431893098316e-13
134,1.9234996207873935e-13
135,2.1469246972911505e-13
136,2.366721991358181e-13
137,2.582299624274147e-13
138,2.7930718431692574e-13
139,2.998460594627345e-13
140,3.197897090618315e-13
141,3.3908233625472436e-13
142,3.5766937992158457e-13
143,3.7549766645017964e-13
144,3.925155590578453e-13
145,4.086731042536033e-13
146,4.2392217503041516e-13
147,4.3821661038351925e-13
148,4.515123507570493e-13
149,4.637675690293832e-13
150,4.749427966561381e-13
151,4.850010445999366e-13
152,4.939079186871735e-13
153,5.016317290439462e-13
154,5.081435932766125e-13
155,5.134175330764504e-13
156,5.174305639431116e-13
157,5.20162777737499e-13
158,5.215974177917436e-13
159,5.217209463216329e-13
160,5.205231039055559e-13
161,5.179969608132837e-13
162,5.141389599883285e-13
163,5.089489515078492e-13
164,5.024302183662131e-13
165,4.945894934495046e-13
166,4.854369675916443e-13
167,4.749862886248308e-13
168,4.632545513612395e-13
169,4.502622784658668e-13
170,4.360333922050684e-13
171,4.2059517707888793e-13
172,4.039782333701807e-13
173,3.862164216675808e-13
174,3.673467984440549e-13
175,3.4740954279699824e-13
176,3.2644787448038767e-13
177,3.0450796338336984e-13
178,2.816388306336199e-13
179,2.5789224152754836e-13
180,2.3332259051236837e-13
181,2.079867784678937e-13
182,1.8194408255831585e-13
183,1.5525601894554846e-13
184,1.2798619867716813e-13
185,1.0020017708203462e-13
186,7.196529702635018e-14
187,4.3350526401762674e-14
188,1.44262902349336e-14
189,-1.4735702174953824e-14
190,-4.406263466833501e-14
191,-7.348076574944842e-14
192,-1.0291561377149214e-13
193,-1.3229214531819374e-13
194,-1.6153496630637787e-13
195,-1.9056851532303295e-13
196,-2.193172587014735e-13
197,-2.47705886833349e-13
198,-2.7565951120628405e-13
199,-3.0310386165197145e-13
200,-3.2996548328532603e-13
201,-3.5617193261286507e-13
202,-3.816519722870455e-13
203,-4.0633576398396125e-13
204,-4.301550588825524e-13
205,-4.5304338522742163e-13
206,-4.749362324610995e-13
207,-4.957712314175216e-13
208,-5.154883300759495e-13
209,-5.340299643829828e-13
210,-5.513412236601308e-13
211,-5.673700101260331e-13
212,-5.820671920750836e-13
213,-5.953867502677198e-13
214,-6.072859171036511e-13
215,-6.177253081650697e-13
216,-6.266690457351117e-13
217,-6.340848739154067e-13
218,-6.399442649868606e-13
219,-6.442225166784056e-13
220,-6.468988400313142e-13
221,-6.479564375688652e-13
222,-6.473825715060322e-13
223,-6.45168621757928e-13
224,-6.413101335321967e-13
225,-6.358068543161235e-13
226,-6.286627600969679e-13
227,-6.198860706812705e-13
228,-6.09489254007308e-13
229,-5.974890193732496e-13
230,-5.839062995328069e-13
231,-5.68766221639429e-13
232,-5.520980670494608e-13
233,-5.339352200246667e-13
234,-5.143151054038738e-13
235,-4.932791153436567e-13
236,-4.708725252572579e-13
237,-4.471443991106146e-13
238,-4.2214748426349544e-13
239,-3.9593809607247955e-13
240,-3.685759925014653e-13
241,-3.401242390125482e-13
242,-3.1064906403832285e-13
243,-2.80219705362824e-13
244,-2.489082477644933e-13
245,-2.167894523000985e-13
246,-1.8394057763213117e-13
247,-1.5044119382641848e-13
248,-1.1637298906853876e-13
249,-8.181956976898322e-14
250,-4.6866254547478366e-14
251,-1.1599862605482484e-14
252,2.3891502986320193e-14
253,5.951867654214757e-14
254,9.519165499878155e-14
255,1.3081982656471668e-13
256,1.6631220219705147e-13
257,2.0157764931123753e-13
258,2.3652512712011603e-13
259,2.7106392299067055e-13
260,3.051038892017688e-13
261,3.3855567948072393e-13
262,3.7133098469489075e-13
263,4.0334276707270305e-13
264,4.345054923299146e-13
265,4.647353590783194e-13
266,4.939505248988528e-13
267,5.220713284665342e-13
268,5.490205071217802e-13
269,5.747234092918852e-13
270,5.991082011769993e-13
271,6.221060671273297e-13
272,6.436514031518861e-13
273,6.636820030146923e-13
274,6.821392363915769e-13
275,6.989682185784769e-13
276,7.141179712628172e-13
277,7.275415738904023e-13
278,7.391963051828748e-13
279,7.490437743853519e-13
280,7.570500418480712e-13
281,7.631857285733189e-13
282,7.674261143857806e-13
283,7.697512244130721e-13
284,7.701459035930637e-13
285,7.685998789545192e-13
286,7.651078094494667e-13
287,7.59669323147078e-13
288,7.522890416318779e-13
289,7.429765914823223e-13
290,7.31746602739054e-13
291,7.186186943070127e-13
292,7.03617446269274e-13
293,6.867723591252942e-13
294,6.681178000016173e-13
295,6.476929359166492e-13
296,6.255416542171529e-13
297,6.017124703377101e-13
298,5.762584230691477e-13
299,5.49236957555973e-13
300,5.207097962757918e-13
301,4.907427982876767e-13
302,4.594058070677966e-13
303,4.2677248728306747e-13
304,3.9292015088380895e-13
305,3.5792957292712136e-13
306,3.2188479757092696e-13
307,2.8487293470696353e-13
308,2.4698394772812066e-13
309,2.083104329502863e-13
310,1.6894739123429366e-13
311,1.2899199237533687e-13
312,8.854333285002302e-14
313,4.77021875300333e-14
314,6.570755990973191e-15
315,-3.474759593874944e-14
316,-7.614859872891525e-14
